id;predict;;;;
1;horse;;;;
2;unknown;;;;
3;skateboard;;;;
4;gazelle;;;;
5;horse;;;;
6;horse;;;;
7;horse;;;;
8;horse;;;;
9;horse;;;;
10;snowboarding;;;;
11;train;;;;
12;horse;;;;
13;bicycle;;;;
14;bicycle;;;;
15;horse;;;;
16;bicycle;;;;
17;truck;;;;
18;snowboarding;;;;
19;bicycle;;;;
20;gazelle;;;;
21;truck;;;;
22;snowboarding;;;;
23;truck;;;;
24;gazelle;;;;
25;bicycle;;;;
26;bicycle;;;;
27;bicycle;;;;
28;bicycle;;;;
29;snowboarding;;;;
30;horse;;;;
31;horse;;;;
32;gazelle;;;;
33;gazelle;;;;
34;horse;;;;
35;horse;;;;
36;bicycle;;;;
37;unknown;;;;
38;truck;;;;
39;horse;;;;
40;truck;;;;
41;unknown;;;;
42;unknown;;;;
43;unknown;;;;
44;dump truck;;;;
45;truck;;;;
46;horse;;;;
47;train;;;;
48;unknown;;;;
49;unknown;;;;
50;truck;;;;
51;snowboarding;;;;
52;unknown;;;;
53;truck;;;;
54;bicycle;;;;
55;horse;;;;
56;snowboarding;;;;
57;gazelle;;;;
58;truck;;;;
59;horse;;;;
60;truck;;;;
61;ski;;;;
62;ski;;;;
63;train;;;;
64;truck;;;;
65;lawnmower;;;;
66;truck;;;;
67;truck;;;;
68;dump truck;;;;
69;truck;;;;
70;truck;;;;
71;train;;;;
72;dump truck;;;;
73;train;;;;
74;unknown;;;;
75;truck;;;;
76;bicycle;;;;
77;lawnmower;;;;
78;lawnmower;;;;
79;dump truck;;;;
80;dump truck;;;;
81;train;;;;
82;bicycle;;;;
83;train;;;;
84;bicycle;;;;
85;ski;;;;
86;dump truck;;;;
87;unknown;;;;
88;dump truck;;;;
89;train;;;;
90;truck;;;;
91;lawnmower;;;;
92;bicycle;;;;
93;tractor;;;;
94;truck;;;;
95;bicycle;;;;
96;dump truck;;;;
97;dump truck;;;;
98;train;;;;
99;tractor;;;;
100;horse;;;;
101;dump truck;;;;
102;snowboarding;;;;
103;tractor;;;;
104;tractor;;;;
105;tractor;;;;
106;lawnmower;;;;
107;snowboarding;;;;
108;snowboarding;;;;
109;tractor;;;;
110;lawnmower;;;;
111;gazelle;;;;
112;train;;;;
113;dump truck;;;;
114;horse;;;;
115;gazelle;;;;
116;train;;;;
117;horse;;;;
118;lawnmower;;;;
119;gazelle;;;;
120;gazelle;;;;
121;unknown;;;;
122;tractor;;;;
123;dump truck;;;;
124;gazelle;;;;
125;horse;;;;
126;bicycle;;;;
127;unknown;;;;
128;truck;;;;
129;gazelle;;;;
130;gazelle;;;;
131;horse;;;;
132;horse;;;;
133;train;;;;
134;bicycle;;;;
135;gazelle;;;;
136;truck;;;;
137;horse;;;;
138;bicycle;;;;
139;snowboarding;;;;
140;truck;;;;
141;train;;;;
142;horse;;;;
143;train;;;;
144;tractor;;;;
145;skateboard;;;;
146;gazelle;;;;
147;unknown;;;;
148;truck;;;;
149;tractor;;;;
150;gazelle;;;;
151;bicycle;;;;
152;bicycle;;;;
153;snowboarding;;;;
154;truck;;;;
155;lawnmower;;;;
156;truck;;;;
157;gazelle;;;;
158;horse;;;;
159;train;;;;
160;train;;;;
161;tractor;;;;
162;truck;;;;
163;tractor;;;;
164;tractor;;;;
165;horse;;;;
166;snowboarding;;;;
167;snowboarding;;;;
168;skateboard;;;;
169;dump truck;;;;
170;truck;;;;
171;horse;;;;
172;tractor;;;;
173;bicycle;;;;
174;horse;;;;
175;tractor;;;;
176;skateboard;;;;
177;skateboard;;;;
178;truck;;;;
179;truck;;;;
180;skateboard;;;;
181;horse;;;;
182;gazelle;;;;
183;gazelle;;;;
184;horse;;;;
185;tractor;;;;
186;horse;;;;
187;gazelle;;;;
188;tractor;;;;
189;horse;;;;
190;ski;;;;
191;gazelle;;;;
192;skateboard;;;;
193;bicycle;;;;
194;truck;;;;
195;truck;;;;
196;horse;;;;
197;tractor;;;;
198;skateboard;;;;
199;snowboarding;;;;
200;truck;;;;
201;train;;;;
202;ski;;;;
203;bicycle;;;;
204;bicycle;;;;
205;bicycle;;;;
206;ski;;;;
207;bicycle;;;;
208;ski;;;;
209;ski;;;;
210;ski;;;;
211;ski;;;;
212;truck;;;;
213;skateboard;;;;
214;gazelle;;;;
215;train;;;;
216;skateboard;;;;
217;gazzele;;;;
218;ski;;;;
219;bicycle;;;;
220;truck;;;;
221;gazelle;;;;
222;unknown;;;;
223;ski;;;;
224;snowboarding;;;;
225;train;;;;
226;tractor;;;;
227;skateboard;;;;
228;snowboarding;;;;
229;ski;;;;
230;gazzele;;;;
231;unknown;;;;
232;truck;;;;
